stock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ABL,0.03564976514512819,-0.02000232585184325,-0.042245164352676,0.026886383347788367,0.03004343629343631,-0.004802623872554923,-0.05225988700564965,-0.12034277198211618,-0.02371876323591693,0.040636297903108964,0.030433574207893388,-0.028320971004720308,-0.021651630811936218,-0.03532415945524181,0.16176470588235303,-0.013670886075949351,0.05582648870636553,0.08314087759815236,-0.04051172707889128,0.016959064327485507,-0.08223116733755043,-0.10889724310776938,-0.029672338630291062,-0.05217391304347818,0.010856269113149741,-0.01830282861896826,-0.021879815100154243,0.0004725897920605515,0.007242953865532975,0.016413944036266948,0.015072285450630662,-0.06060606060606055,0.027903225806451548,0.051310214969402246,0.0,0.06731343283582092,-0.02810795692910084,0.007338129496403001,0.07698900157120403,0.11379310344827576,-0.011669445105977672,0.03614457831325302,0.008488372093023333,-0.008532226449902147,0.1512966624026051,-0.004646464646464565,0.11832758270752985,0.06243194192377488,-0.06901264092927906,0.0183486238532109,0.07225225225225218,0.2077802050075619,-0.04090434782608687,0.040763037644157674,-0.042790438358073835,-0.023662176920276612,-0.00014914243102148728,-0.032517899761336566,0.08695652173913038,0.29971631205673743
ABOT,0.22092542534584214,-0.001562825588664385,-0.06502400083481163,0.0338732404190909,0.019296422740092023,-0.01649522750440191,0.02192728594311566,-0.045192307692307754,0.046572583426450986,0.031556053516114124,0.012484187122247858,-0.033520117118481574,-0.004922956385479238,0.01421203889610645,-0.011463913257252267,-0.019437172774869116,-0.04223453247013276,0.0034424607322547374,-0.029139698324953445,-0.0014449213161659147,-0.010917061849023635,-0.0729608760519721,0.02287499999999998,-0.04478797507026755,-0.040491268470543185,-0.02846666666666675,-0.01849310368489665,-0.053693152025728,-0.14426877470355726,-0.23619175066370246,0.059681247880637445,0.10202666666666671,-0.013308812853893404,-0.034211300765155994,-0.06046062822173126,0.06267567567567567,-0.08186881660266032,-0.04293628808864269,0.14321273516642563,0.19752898880955994,-0.027040169133192404,-0.13061428478303372,0.18282929267683068,0.011790808240887518,0.18085750683958812,0.20128044143395307,0.07911783758318114,0.018336107397200374,-0.03243482221805405,0.0595671619058169,0.20834258980959963,0.1813639608072155,0.13319784686367142,0.021197873749858598,-0.17945573926113434,0.06083393588816577,-0.11854409960467116,-0.021373117093338556,0.024094481552497937,0.11172264801193377
AGL,0.007561436672967936,-0.07129455909943716,-0.0565656565656566,0.051391862955032064,0.04073319755600813,-0.021526418786692814,-0.06400000000000006,-0.019230769230769162,-0.13943355119825707,0.5468354430379747,0.1162029459901801,-0.1348973607038123,0.015254237288135464,-0.24207011686143576,-0.07488986784140961,-0.03809523809523818,-0.061881188118811936,0.079155672823219,0.4205378973105134,0.2771084337349399,-0.16307277628032346,-0.1529790660225443,0.26425855513308005,0.10977443609022552,-0.02168021680216803,-0.05401662049861489,-0.15226939970717424,-0.012089810017271163,-0.2325174825174825,-0.03189066059225509,-0.0117647058823529,0.15714285714285725,-0.02880658436214001,-0.016949152542372947,-0.06465517241379304,0.5737327188940093,-0.15226939970717424,0.4784110535405872,-0.21962616822429915,0.7574850299401199,0.16013628620102205,0.027900146842878115,0.10857142857142854,0.7255154639175259,-0.02875280059746077,-0.2552864282968089,0.056272586473928854,0.1593352883675463,0.3802698145025296,0.02810018326206465,0.1322043969102793,-0.0005247966413013394,-0.002887897085849467,0.33149025803054255,-0.04053786830136441,0.3831409727947237,-0.1932647891521383,-0.02013298854820844,0.023374175306314804,0.09117701234113107
AGP,-0.014205986808726645,-0.06501972894149943,-0.07394495412844038,0.051812958192986036,0.07261938400678147,0.16947664207938185,-0.06127046103018474,-0.08710606302991519,-0.02742486638044328,-0.06387387387387389,0.12915022615725147,0.07951930452569678,-0.05881888520448442,-0.037077426390403345,-0.01559369283038603,-0.11707964601769916,-0.02786408740102242,-0.07134756160428912,-0.07904962806705884,0.08595539481615422,-0.039520426287744215,-0.052242256125751174,0.06853658536585372,-0.11469984021912816,0.050921748098491815,-0.008218842001962767,-0.0862090290661719,-0.020303194369247435,-0.10210002763194259,-0.12201877211878742,-0.00578338590956895,-0.0445972148774898,0.02324723247232474,-0.07915614857554998,0.10593303309183466,0.06055240793201144,-0.20083472454090157,0.029036975141006893,0.19488428745432396,0.20795107033639137,-0.01111111111111096,-0.06144218461100848,0.15244734050613729,-0.0240631163708086,0.07113985448666127,0.09559748427672954,0.060505166475315786,0.03529284399696864,0.04611523580466392,0.1070571771291482,0.16171557562076755,0.24382092336390482,0.06292570143098164,0.019870664315108755,0.09361309661056039,0.002055660974067175,-0.021356057019620178,-0.012201021230851983,0.039068451409293825,0.046816087138667806
AICL,0.0363279332351496,-0.05021316911416385,-0.05211970074812977,-0.02630886608787164,0.062415563361253756,0.17599186164801628,-0.1031574394463668,-0.05401495056667471,0.03109864899311776,-0.05933250927070466,0.08988173455978976,-0.03520617313720764,0.03224193951512122,-0.14624697336561743,0.10323312535450935,0.027763496143958788,0.0005002501250626068,-0.010500000000000065,-0.04825669530065679,-0.11122909477037446,-0.045997610513739406,0.01440200375704448,-0.025925925925925908,0.025665399239543696,-0.02687673772011112,-0.04063492063492069,-0.02481800132362677,-0.019341703427214085,-0.0252595155709342,0.004614838480653249,0.03992932862190801,-0.1009174311926605,-0.154572940287226,0.003129190880643673,0.008467023172905375,0.2916482545293859,0.016079370509750168,-0.037710437710437694,0.10321903428971324,0.09039010466222641,-0.00610820244328103,0.07491952004682445,-0.016063163626463317,-0.047039291643608316,0.05023228803716617,-0.02294719380702237,0.01612903225806428,-0.0013923698134223894,-0.042387060791968634,-0.05591147350029124,0.19710055521283154,0.044833805720175146,0.23181257706535163,-0.03703703703703709,0.007692307692307665,-0.03878687848153484,-0.12770980897188244,0.14419291338582685,0.0754838709677419,0.3497300539892023
AIRLINK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060262529832935674,-0.04888888888888887,-0.03104138851802407,-0.03548053737512924,0.015535714285714208,-0.051696852470546784,-0.16781012423511954,-0.10606060606060619,0.006729810568295136,-0.1203268135677148,0.04165493948775678,-0.022696568495001235,-0.04451202654133257,-0.1620370370370371,0.02140883977900554,-0.19912102772143336,-0.09666525960320826,-0.05467289719626156,-0.06129510627780532,0.11269088994207488,-0.06152389966871752,0.2667675239536058,-0.1377388535031847,0.09048938134810713,0.5889077053344622,0.5342392752464693,0.05522750955192768,-0.05974325213956544,0.043059688429896825,0.036415505957375416,0.1829663212435233,0.04859019983575141,0.1595092024539877,0.1499493414387032,0.44561918746940754,-0.11857520146272083,-0.06445912722802705,0.11965180257863195,0.6136130262578847,-0.10736363636363644,-0.04730624299826858,-0.07167673312309586,-0.12413634269921692,0.02629503023928481,-0.02229054573405087,-0.08949161425576524
AKBL,0.18689655172413788,-0.0644973852411388,0.011801242236024745,0.031921424186617475,0.2099940511600238,0.048180924287118954,-0.011726078799249584,-0.19364024679639302,0.014714537963507857,0.10556844547563804,0.03725078698845752,-0.03287809812847742,-0.0674686192468621,0.10656197420078528,0.013177901672579706,0.031515757878939565,-0.0712900096993212,0.07049608355091386,-0.18390243902439019,-0.020322773460848764,0.06101281269066505,-0.07935595169637721,-0.05309181761399129,-0.04815303430079154,0.09494109494109493,-0.0056962025316456,0.05155951623169952,0.10532687651331729,-0.04271631982475366,0.005148741418764313,-0.09561752988047811,-0.01950912523599746,0.016046213093709794,-0.09728363866077072,-0.0930720783764869,0.25231481481481466,-0.07455329636475672,0.03794940079893472,0.17254650416933948,0.20131291028446396,0.12568306010928953,-0.046925566343042124,-0.005942275042444711,-0.118274978650726,0.11525423728813577,-0.045158488927485974,0.024556616643929274,0.25210830004438534,-0.11981566820276501,0.0596053161498189,0.09578107183580387,0.38120013874436354,-0.038925163234555415,0.1400574862816828,-0.08297043318817332,-0.02374406398400386,-0.0007680491551459445,0.24289008455034589,0.016285301999587665,0.41054766734279946
APL,0.06412331690089035,-0.05555747623163354,-0.04681894721429103,-0.01021544606167657,0.0386838939975942,0.040941352259992625,-0.030861982344075334,-0.031252314300525774,-0.002675636419233962,0.034684960907557905,-0.04870911582768467,0.00397165329802962,0.01768538628606886,-0.11585365853658525,0.13793103448275867,-0.08261363636363639,0.03720219662248647,0.05071656050955409,-0.04220656209744633,-0.04537183544303802,0.042307214188041176,-0.030372902918024858,0.0539155391553916,0.07162030733320357,0.13595440354316435,-0.1087213575788567,0.011079637132919817,0.11812894531527052,-0.08113165657014187,0.06975941458700086,-0.03946179659266913,-0.013671940609358724,0.024112798855663753,-0.021782507482540736,0.020737718850926568,0.0496919233971691,-0.10118348827616852,0.028734820672126737,0.10575801249056349,0.1285377358490567,0.04083484573502716,0.05952286597447887,-0.0248354278874926,-0.030760969622583567,0.007281361297981848,0.04444619051360621,-0.03144591002557795,0.0793806959403478,0.0671144159270809,-0.09638554216867468,0.09213930348258703,0.13042091836734682,0.11714688696353015,-0.13440588702113854,-0.03658943157192862,-0.01844882775326595,-0.07489588612476039,0.16310975609756095,-0.01781618610747049,0.0795838372044535
ATLH,0.021974030691001456,-0.04486894713460676,0.15116279069767447,-0.030404040404040433,0.041775184915095354,0.0034600000000000186,-0.12008450760369127,0.04192715411796688,0.021456988195395654,0.0003192440301365007,0.021254866917725268,-0.019145833333333306,-0.0017204392430066884,-0.11702127659574468,-0.012048192771084376,0.06212195121951236,-0.06762808000551135,-0.014826855819910278,-0.00977500000000009,-0.005276578555378775,-0.010152284263959421,0.020384615384615445,-0.05113707752230168,-0.08630826271186454,-0.014550302889771216,0.011235624577193404,-0.025624618248451192,-0.005970149253731294,-0.09909909909909909,-0.06663333333333332,-0.03753437377236524,-0.005231910946196794,0.02577492633070988,0.023636363636363678,-0.08710479573712249,0.09767297065919522,-0.13109756097560976,0.09628722970216241,0.13278749534797174,0.22632893094158613,-0.06014413159375254,0.10027934553332196,-0.002590673575129543,0.018961038961039067,0.17988784093805754,0.12953961155400018,-0.06921944035346106,0.33558688147295745,-0.0647126702054005,0.08988468308411068,0.2787798288379395,0.012393328848128604,-0.059610833245893224,0.14148276717084052,-0.005473976887653276,0.03055652629739658,0.24466439183604272,-0.04128424745006554,-0.08479197193730303,0.19381507321191194
ATRL,0.21580909768829226,-0.14450441609421005,-0.004301691998852886,0.03672235023041481,0.264411723850535,0.05899478165339178,0.17443850822138085,0.12790389541559932,-0.1441773044091158,0.1393667642752563,0.029836960886675756,-0.11249756287775392,0.0036906854130052125,-0.21738749781124145,-0.05453630159973155,-0.13080518251198026,-0.01967056901715214,0.05054502534194261,-0.1195558786597053,-0.034078967122053716,0.21137705937208562,0.05183474467539151,0.07209075384240049,-0.22676072363181254,0.16870217775161866,-0.07321372363865275,0.13136802064936837,-0.006123919308357428,-0.13277757641657595,0.17741710782947906,-0.04632313790451403,0.05614143920595538,0.0384140969162996,-0.06612364952768823,0.03955178679588123,0.368117461982171,-0.06699033260934373,0.16185868176008755,0.17620020429009187,0.041150339022679505,0.05055981521285835,-0.05111918649036551,0.09892833006146828,0.12683398248748046,0.01995945735225324,-0.03256382816083159,-0.07398335440370851,-0.03600785005261797,0.028058891216475423,-0.07662725289863392,0.34975446012308065,0.17127593432657107,0.39844686916347216,-0.14433728842152627,0.00823133163558687,0.05483492487696773,-0.1978650105822557,0.32933382123529076,-0.015661446184605188,-0.03532424715198257
