Return
0.047200
-0.013100
-0.016800
0.029600
0.065400
0.060100
-0.011200
-0.027800
-0.007300
0.082100
-0.011300
-0.006400
0.007700
-0.053100
0.028600
-0.024100
-0.010600
0.017500
-0.020100
0.010500
0.007100
-0.048000
-0.035700
-0.033500
0.054800
-0.028900
0.003300
0.026300
-0.045500
0.006200
-0.004000
-0.012600
0.039500
-0.006000
0.003000
0.158800
-0.063100
0.027300
0.123000
0.165900
0.031700
-0.007600
0.041900
0.037600
0.061200
0.067200
0.033800
-0.007100
0.007700
0.033500
0.096800
0.139300
0.135900
-0.007600
-0.008800
0.040200
-0.055000
0.075100
0.049600
0.109600
