SYMBOL
OGDC
UBL
MARI
MEBL
FFC
LUCK
PPL
MCB
HBL
NESTLE
PAKT
BWCL
NBP
COLG
SCBPL
EFERT
FATIMA
ENGRO
ENGROH
BAHL
ABL
HUBC
SYS
UPFL
PSO
POL
INDU
BAFL
LCI
ATLH
ISIL
KEL
GLAXO
DAWH
FCCL
HMB
FABL
ABOT
MTL
FFBL
AKBL
HALEON
PIAHCLA
ILP
KOHC
IBFL
MLCF
NATF
SAZEW
RMPL
PTC
PNSC
DGKC
PMPK
SNGP
DCR
ATRL
KTML
APL
CHCC
HINOON
FCEPL
AIRLINK
SRVI
PKGS
AGP
SEARL
PABC
PIOC
ICI
JDWS
AHCL
NML
PSMC
AGL
THALL
PKGP
IGIHL
BOP
ISL
TGL
GHGL
FFL
HCAR
PIAHCLB
PAEL
BIPL
EFOODS
SHEL
ACPL
CNERGY
WAFI
IGIIL
HPL
SHFA
SSGC
UNITY
GHNI
FLYNG
BYCO
BML
LOTCHEM
GAL
KAPCO
TRG
PSEL
SAPT
JVDC
FML
JSBL
MUREB
JKSM
SNBL
EFUG
PSX
EPCL
MUGHAL
INIL
GATM
AICL
STYLERS
TPLRF1
AGTL
TSML
SFL
DHPL
JSCL
THCCL
NRL
GWLC
AVN
PIBTL
BOK
CPHL
IMS
PRL
PAKOXY
NICL
DLL
FEROZ
MACTER
AABS
POWER
AKDSL
JLICL
EFUL
JGICL
ZAHID
IPAK
FCL
GCIL
SGF
HUMNL
ARPL
BFBIO
EWIC
SMBL
BBFL
GSKCH
NPL
TATM
GATI
HINO
TBL
SITC
SPEL
PAKRI
BFAGRO
BATA
SIEM
NETSOL
ASL
AKZO
ATIL
GADT
NCL
DSML
HABSM
CEPB
LPL
HASCOLNC
SEPL
MEHT
SILK
NCPL
GVGL
MCBIM
EFGH
ATBA
SBL
PCAL
TPLL
EPQL
IDYM
PSYL
ALIFE
ICL
PREMA
SHSML
BIFO
HGFA
FHAM
POML
PGLC
YOUW
BNWM
